variant	repetition	exit_code	timed_out	edge_count	state_count_lower_bound	canonical_semantic_sha256	first_worker_fire_senders	worker_fire_order_language	observer_hit_order_language	result_tags	assertion_failed_reachable	transition_prefix_count	stdout_sha256	stderr_sha256
base	1	0	False	4	5	37951cccb8d0522cc11130a2d0ad6f22d264429b7b14b19c04fb4caf9b208e07	"[""workera""]"	"[[""workera"",""workerb""]]"	"[[""workera"",""workerb""]]"	"[""deadlock""]"	False	4	b5cd05706defc0c47431bb04e5215b6993e7cf65557b875e30d93d9a6327a046	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
base	2	0	False	4	5	37951cccb8d0522cc11130a2d0ad6f22d264429b7b14b19c04fb4caf9b208e07	"[""workera""]"	"[[""workera"",""workerb""]]"	"[[""workera"",""workerb""]]"	"[""deadlock""]"	False	4	b5cd05706defc0c47431bb04e5215b6993e7cf65557b875e30d93d9a6327a046	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
base	3	0	False	4	5	37951cccb8d0522cc11130a2d0ad6f22d264429b7b14b19c04fb4caf9b208e07	"[""workera""]"	"[[""workera"",""workerb""]]"	"[[""workera"",""workerb""]]"	"[""deadlock""]"	False	4	b5cd05706defc0c47431bb04e5215b6993e7cf65557b875e30d93d9a6327a046	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
reversed	1	0	False	4	5	8a6d442d4bcb1c03311ccd73a135e0781471edeea816f50c247c76e57a2e60d5	"[""workerb""]"	"[[""workerb"",""workera""]]"	"[[""workera"",""workerb""]]"	"[""deadlock""]"	False	4	5b673079b36bb562ec4002f683534056b5214b7bf75f1b0f5bfb796a28f9a937	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
reversed	2	0	False	4	5	8a6d442d4bcb1c03311ccd73a135e0781471edeea816f50c247c76e57a2e60d5	"[""workerb""]"	"[[""workerb"",""workera""]]"	"[[""workera"",""workerb""]]"	"[""deadlock""]"	False	4	5b673079b36bb562ec4002f683534056b5214b7bf75f1b0f5bfb796a28f9a937	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
reversed	3	0	False	4	5	8a6d442d4bcb1c03311ccd73a135e0781471edeea816f50c247c76e57a2e60d5	"[""workerb""]"	"[[""workerb"",""workera""]]"	"[[""workera"",""workerb""]]"	"[""deadlock""]"	False	4	cac66006c3559eb98eea28a8242fae955c0bac00f7d73312fe7106ac73dd98b4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
absent	1	0	False	4	5	0dcf9116d466e43b1486b2b0d01df596a7a9d245583d5dea068535693ad69afb	"[""workera""]"	"[[""workera"",""workerb""]]"	"[[""workera""]]"	"[""assertion failed""]"	True	4	25e84d6ef080d31cdfaca65f2667481593e4b3bdf018e9eb9e6997c802253ffc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
absent	2	0	False	4	5	0dcf9116d466e43b1486b2b0d01df596a7a9d245583d5dea068535693ad69afb	"[""workera""]"	"[[""workera"",""workerb""]]"	"[[""workera""]]"	"[""assertion failed""]"	True	4	25e84d6ef080d31cdfaca65f2667481593e4b3bdf018e9eb9e6997c802253ffc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
absent	3	0	False	4	5	0dcf9116d466e43b1486b2b0d01df596a7a9d245583d5dea068535693ad69afb	"[""workera""]"	"[[""workera"",""workerb""]]"	"[[""workera""]]"	"[""assertion failed""]"	True	4	25e84d6ef080d31cdfaca65f2667481593e4b3bdf018e9eb9e6997c802253ffc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
