benchmark_id	benchmark_directory	source_path	polarity	module_count	obligation_count	required_stage_count
multi-store--weak-semantics--positive	tests/translator/multi-store--weak-semantics--positive	tests/translator/multi-store--weak-semantics--positive/source/model.rebeca	positive	5	37	9
multi-store--well-formedness--positive	tests/translator/multi-store--well-formedness--positive	tests/translator/multi-store--well-formedness--positive/source/model.rebeca	positive	2	25	8
multi-store-payload--dispatch--positive	tests/translator/multi-store-payload--dispatch--positive	tests/translator/multi-store-payload--dispatch--positive/source/model.rebeca	positive	8	72	9
multi-store-payload--finite-execution--positive	tests/translator/multi-store-payload--finite-execution--positive	tests/translator/multi-store-payload--finite-execution--positive/source/model.rebeca	positive	2	49	9
multi-store-payload--initialization--positive	tests/translator/multi-store-payload--initialization--positive	tests/translator/multi-store-payload--initialization--positive/source/model.rebeca	positive	5	90	9
multi-store-payload--payload-binding--positive	tests/translator/multi-store-payload--payload-binding--positive	tests/translator/multi-store-payload--payload-binding--positive/source/model.rebeca	positive	5	62	9
multi-store-payload--priority-selection--positive	tests/translator/multi-store-payload--priority-selection--positive	tests/translator/multi-store-payload--priority-selection--positive/source/model.rebeca	positive	3	23	9
payload--dispatch--positive	tests/translator/payload--dispatch--positive	tests/translator/payload--dispatch--positive/source/model.rebeca	positive	3	46	9
payload--finite-execution--positive	tests/translator/payload--finite-execution--positive	tests/translator/payload--finite-execution--positive/source/model.rebeca	positive	1	9	9
payload--initialization--positive	tests/translator/payload--initialization--positive	tests/translator/payload--initialization--positive/source/model.rebeca	positive	1	12	7
payload--payload-binding--positive	tests/translator/payload--payload-binding--positive	tests/translator/payload--payload-binding--positive/source/model.rebeca	positive	3	39	9
payload--priority-selection--positive	tests/translator/payload--priority-selection--positive	tests/translator/payload--priority-selection--positive/source/model.rebeca	positive	2	28	8
