source	path	line	matched_categories	excerpt
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedRebecaModelChecker.java	102	scheduler	"if(!(annotations = definition.getAnnotations()).isEmpty() && !(Objects.requireNonNull(scheduling = getAnnotation(annotations, ""schedulingPolicy""))).isEmpty()) { actorState.setSchedulingPolicy(SchedulingPolicy.getSchedulingPolicy(scheduling)); }"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedRebecaModelChecker.java	142	priority	"String priorityStr; if(!annotations.isEmpty() && !(Objects.requireNonNull(priorityStr = getAnnotation(annotations, ""priority""))).isEmpty()) { timedActorState.setPriority(Integer.parseInt(priorityStr));"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedState.java	72	scheduler	public List<TimedActorState> getEnabledActors(int enablingTime) { List<TimedActorState> enabledActors = new ArrayList<>();
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedState.java	73	scheduler	public List<TimedActorState> getEnabledActors(int enablingTime) { List<TimedActorState> enabledActors = new ArrayList<>(); for (TimedActorState actorState : getAllActorStates()) {
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedState.java	79	scheduler	if (actorState.firstTimeActorCanPeekNewMessage() <= enablingTime) { enabledActors.add(actorState); }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedState.java	84	scheduler	if (actorState.getResumingTime() <= enablingTime) { enabledActors.add(actorState); }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedState.java	87	scheduler	} else if (actorState.firstTimeActorCanPeekNewMessage() <= enablingTime) { enabledActors.add(actorState); }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedState.java	91	scheduler	} return enabledActors; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	62	priority	int period = Integer.MAX_VALUE; int priority = Integer.MAX_VALUE;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	77	priority	"} if ((priorityStr = TimedRebecaModelChecker.getAnnotation(annotations, ""priority"")) != null) { priority = Integer.parseInt(priorityStr);"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	78	priority	"if ((priorityStr = TimedRebecaModelChecker.getAnnotation(annotations, ""priority"")) != null) { priority = Integer.parseInt(priorityStr); }"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	95	priority	TimedMessageSpecification msgSpec = new TimedMessageSpecification( tmcib.getMethodName(), priority, parameters, baseActorState, after, absoluteDeadline, deadline, period);
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/utils/SchedulingPolicy.java	24	priority	"case ""DMS"" -> SCHEDULING_ALGORITHM_DMS; case ""PRIORITY"" -> SCHEDULING_ALGORITHM_PRIORITY;"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/utils/SchedulingPolicy.java	26	scheduler	"default -> throw new ModelCheckingException(""Unknown scheduling policy "" + input); };"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/utils/SchedulingPolicy.java	37	scheduler	"case SCHEDULING_ALGORITHM_PRIORITY -> Integer.compare(first.getPriority(), second.getPriority()); default -> throw new IllegalArgumentException(""Unknown scheduling policy: "" + schedulingPolicy); };"
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/ExecuteStatementRule.java	33	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.RuleIsDisabledException; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.beans.factory.annotation.Autowired;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/ExecuteStatementRule.java	116	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) throws RuleIsDisabledException {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/ExecuteStatementRule.java	118	trace-or-step	AbstractActorState base, AbstractActorState state, Object... additional) throws RuleIsDisabledException { Transition<AbstractActorState> destinations = null; boolean ignorableInstructionIsExecuted = false;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/ReceiveMessageRule.java	7	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.RuleIsDisabledException; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.beans.factory.config.ConfigurableBeanFactory;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/ReceiveMessageRule.java	17	trace-or-step	@Override public Transition<AbstractActorState> applyRule(AbstractActorState base, AbstractActorState state, Object... additional) throws RuleIsDisabledException { MessageAction action = (MessageAction) additional[0];
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/ReceiveMessageRule.java	21	trace-or-step	return Transition.createDeterministicTransition(action, state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/AssignmentRule.java	12	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/AssignmentRule.java	32	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/AssignmentRule.java	41	trace-or-step	if(rightSideResult instanceof NonDetValue) { Transition<AbstractActorState> result = new Transition<AbstractActorState>(); NonDetValue ndv = (NonDetValue) rightSideResult;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/AssignmentRule.java	91	trace-or-step	state.movePCtoTheNextInstruction(); return Transition.createDeterministicTransition(resultAction, state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/ConditionalRule.java	9	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/ConditionalRule.java	16	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/ConditionalRule.java	32	trace-or-step	return Transition.createDeterministicTransition(resultAction, state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/EndMSGSrvRule.java	5	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/EndMSGSrvRule.java	12	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/EndMSGSrvRule.java	17	trace-or-step	return Transition.createDeterministicTauTransition(state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/EndMethodCallRule.java	5	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/EndMethodCallRule.java	12	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/EndMethodCallRule.java	17	trace-or-step	return Transition.createDeterministicTauTransition(state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/MethodCallRule.java	12	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/MethodCallRule.java	22	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/MethodCallRule.java	47	trace-or-step	return Transition.createDeterministicTransition(new MethodCallAction(methodName), state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/PopRule.java	6	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/PopRule.java	13	trace-or-step	@Override public Transition<AbstractActorState> applyRule( AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/PopRule.java	21	trace-or-step	return Transition.createDeterministicTauTransition(state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/PushRule.java	5	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.AbstractSOSRule; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/PushRule.java	12	trace-or-step	@Override public Transition<AbstractActorState> applyRule(AbstractActorState base, AbstractActorState state, Object... additional) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/actorlevelrule/statementlevelrule/PushRule.java	17	trace-or-step	return Transition.createDeterministicTauTransition(state); }
