source	path	line	matched_categories	excerpt
official-compiler	src/test/java/org/rebecalang/compiler/modelcompiler/ModelStructureTest.java	51	determinism	"expectedExceptionContainer.addException(new CodeCompilationException(""Direct sending to \""self\"" is allowed in constructors"", 22, 2)); expectedExceptionContainer.addException(new CodeCompilationException(""Only message servers are allowed to have non-deterministic expression"", 24, 10)); expectedExceptionContainer.addException(new CodeCompilationException(""Non-deterministic terms must be constant expressions"", 24, 15));"
official-compiler	src/test/java/org/rebecalang/compiler/modelcompiler/ModelStructureTest.java	52	determinism	"expectedExceptionContainer.addException(new CodeCompilationException(""Only message servers are allowed to have non-deterministic expression"", 24, 10)); expectedExceptionContainer.addException(new CodeCompilationException(""Non-deterministic terms must be constant expressions"", 24, 15)); expectedExceptionContainer.addException(new ScopeException(""\""c\"" undeclared"", 24, 17));"
official-compiler	src/test/java/org/rebecalang/compiler/modelcompiler/ModelStructureTest.java	68	determinism	"expectedExceptionContainer.addException( new CodeCompilationException(""Non-deterministic terms must be constant expressions"", 49, 19)); expectedExceptionContainer.addException("
official-compiler	src/test/java/org/rebecalang/compiler/modelcompiler/ModelStructureTest.java	129	priority	"expectedExceptionContainer.setCorrespondingResource(model); expectedExceptionContainer.addException(new CodeCompilationException(""Conflict between local and global priority definitions"", 22, 2)); expectedExceptionContainer.addException(new CodeCompilationException(""Value of priority must be an integer expression"", 30, 2));"
official-compiler	src/test/java/org/rebecalang/compiler/modelcompiler/ModelStructureTest.java	130	priority	"expectedExceptionContainer.addException(new CodeCompilationException(""Conflict between local and global priority definitions"", 22, 2)); expectedExceptionContainer.addException(new CodeCompilationException(""Value of priority must be an integer expression"", 30, 2));"
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/CoreRebecaModelAllExpressions.rebeca	2	scheduler	"@messagebag(scheduler = ""fifo"") reactiveclass Test1 (3) {"
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/SchedularV3.rebeca	8	scheduler	- Delay for transmission of an outAck 1 :outAT = 1 * - Delay of scheduling algorithm (if it is not negligible) 2 :schdT - Delay for transmission of inReq (from an output port to the input port of the neighboring router) 2 :inRT = 2
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/SchedularV3.rebeca	168	scheduler	inBufFull[i] = false; inBufPtr [i]= 0; // all selectors of round robin schedulers are set to begin from port 0, except the o scheduler for output buffer inBufLen [i] = 0;
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/SchedularV3.rebeca	175	scheduler	} inBufPtr [0]= 1; // round robin scheduler of 0 output buffer should start from 1 (not 0)
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/SchedularV3.rebeca	219	scheduler	inBufFull[i] = false; inBufPtr [i]= 0; // all selectors of round robin schedulers are set to begin from port 0, except the o scheduler for output buffer inBufLen [i] = 0;
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/SchedularV3.rebeca	226	scheduler	} inBufPtr [0]= 1; // round robin scheduler of 0 output buffer should start from 1 (not 0)
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/TimedRebecaPriority.rebeca	11	priority	@priority(3) msgsrv m2() {
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/TimedRebecaPriority.rebeca	28	priority	main { @priority(1) A a():();
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/TimedRebecaPriority.rebeca	30	priority	"A a():(); @priority(""2"") B b():();"
