path	line	categories	source_line	context
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	531	priority-reference	priorityField +	"""\""name\"": "" + jsonString(messageServerName) + "",\n"" + priorityField + fieldPrefix + ""\""body\"": "" + body +"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	549	local-priority-extraction	private static String extractLocalPriority(	"""]""; } private static String extractLocalPriority( MsgsrvDeclaration messageServer ) { String priority ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	552	local-priority-extraction	String priority =	private static String extractLocalPriority( MsgsrvDeclaration messageServer ) { String priority = null; for (
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	556	annotation-access	Annotation annotation :	null; for ( Annotation annotation : messageServer.getAnnotations() ) { String identifier =
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	557	annotation-access	messageServer.getAnnotations()	for ( Annotation annotation : messageServer.getAnnotations() ) { String identifier = requireName(
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	561		annotation.getIdentifier(),	") { String identifier = requireName( annotation.getIdentifier(), ""message-server annotation"" );"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	562		"""message-server annotation"""	"String identifier = requireName( annotation.getIdentifier(), ""message-server annotation"" ); if ("
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	566	local-priority-extraction	!LOCAL_PRIORITY_ANNOTATION.equals(	); if ( !LOCAL_PRIORITY_ANNOTATION.equals( identifier ) ) {
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	571	unsupported-annotation-diagnostic	"""message-server annotation @"" +"	") ) { throw unsupported( ""message-server annotation @"" + identifier ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	576	unsupported-annotation-diagnostic	if (priority != null) {	"); } if (priority != null) { throw unsupported( ""multiple @priority annotations on "" + messageServer.getName()"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	578	unsupported-annotation-diagnostic	"""multiple @priority annotations on "" +"	"if (priority != null) { throw unsupported( ""multiple @priority annotations on "" + messageServer.getName() ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	585		annotation.getValue(),	"Expression value = requireNonNull( annotation.getValue(), ""@priority annotation without a value"" );"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	586	priority-reference	"""@priority annotation without a value"""	"Expression value = requireNonNull( annotation.getValue(), ""@priority annotation without a value"" ); if (!(value instanceof Literal literal)) {"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	591	priority-reference	"""@priority value was not normalized "" +"	"if (!(value instanceof Literal literal)) { throw unsupported( ""@priority value was not normalized "" + ""to an integer literal"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	599	priority-reference	"""@priority value"""	"String rendered = renderIntegerLiteral( literal, ""@priority value"" ); BigInteger numeric ="
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	607	priority-reference	"""@priority value must be nonnegative"""	"if (numeric.signum() < 0) { throw unsupported( ""@priority value must be nonnegative"" ); }"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	611	priority-reference	priority =	); } priority = numeric.toString(); }
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	615	priority-reference	return priority;	numeric.toString(); } return priority; } private static String renderBody(
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	666	annotation-access	statement.getAnnotations(),	"int indent ) { requireEmpty( statement.getAnnotations(), ""statement annotations"" );"
frontend/java-bridge/RebecaMultiStoreJsonExporter.java	667	annotation-access	"""statement annotations"""	") { requireEmpty( statement.getAnnotations(), ""statement annotations"" ); if (statement instanceof BinaryExpression binary) {"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	15		import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Annotation;	import org.rebecalang.compiler.CompilerConfig; import org.rebecalang.compiler.modelcompiler.RebecaModelCompiler; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Annotation; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BinaryExpression; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BlockStatement; import org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ConstructorDeclaration;
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	36		import org.springframework.context.annotation.AnnotationConfigApplicationContext;	import org.rebecalang.compiler.utils.CompilerExtension; import org.rebecalang.compiler.utils.CoreVersion; import org.rebecalang.compiler.utils.ExceptionContainer; import org.springframework.context.annotation.AnnotationConfigApplicationContext; /** * Trusted adapter from the existing Timed Rebeca parser AST to the
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	43	priority-reference	* Lingua Franca translation and no priority sorting.	* versioned ReLico multiple-message-server finite-store JSON bridge. * * The adapter preserves parser declaration order. It performs no * Lingua Franca translation and no priority sorting. */ public final class RebecaMultiStorePayloadJsonExporter {
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	51	local-priority-extraction	private static final String LOCAL_PRIORITY_ANNOTATION =	"private static final int SCHEMA_VERSION = 3; private static final String LOCAL_PRIORITY_ANNOTATION = ""priority""; private RebecaMultiStorePayloadJsonExporter() {"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	52	local-priority-extraction	"""priority"";"	"private static final int SCHEMA_VERSION = 3; private static final String LOCAL_PRIORITY_ANNOTATION = ""priority""; private RebecaMultiStorePayloadJsonExporter() { }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	79		AnnotationConfigApplicationContext context =	} try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class )
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	80		new AnnotationConfigApplicationContext(	try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class ) ) {
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	216	annotation-access	stateField.getAnnotations(),	"} requireEmpty( stateField.getAnnotations(), ""state-variable annotations"" );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	217	annotation-access	"""state-variable annotations"""	"requireEmpty( stateField.getAnnotations(), ""state-variable annotations"" ); return"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	273	annotation-access	constructor.getAnnotations(),	"); requireEmpty( constructor.getAnnotations(), ""constructor annotations"" );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	274	annotation-access	"""constructor annotations"""	"requireEmpty( constructor.getAnnotations(), ""constructor annotations"" ); List<MsgsrvDeclaration> messageServers ="
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	315		"""main actor"""	"requireOne( mainDeclaration .getMainRebecDefinition(), ""main actor"" ); requireEmpty("
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	319	annotation-access	actor.getAnnotations(),	"); requireEmpty( actor.getAnnotations(), ""main-actor annotations"" );"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	320	annotation-access	"""main-actor annotations"""	"requireEmpty( actor.getAnnotations(), ""main-actor annotations"" ); requireEmpty("
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	336		"""main actor"""	"String actorName = requireName( actor.getName(), ""main actor"" ); if (actor.getType() == null) {"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	341		"""main actor without a class type"""	"if (actor.getType() == null) { throw unsupported( ""main actor without a class type"" ); }"
frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	348		"""main actor class"""	"String actorClass = requireName( actor.getType().getTypeName(), ""main actor class"" ); if (!className.equals(actorClass)) {"
